sample_id,file_id,split_index,split_total,source_file,source_path,task_id,word_count,char_count,text,text_preview,ai_status,lipa_gi_compliant,label
2. Post-Modernist Perspective. It rejects the Enlightenment, modernist values of rationalism, empiricism, and science, along with the Enlightenment, modernist structures of capitalism, bureaucracy, and even liberalism. The core value of post-modernism is expressive individualism. The post-modernist perspective can include “spiritual experiences,” but only those without religious constraints.
3. The Pre-Modernist Perspective. - It is best represented and articulated by the Roman Catholic Church, especially by Pope John Paul II. The Pope’s understanding is drawn from his experiences with Poland, but it encompasses events in other countries as well. Each religion has secularized in its own distinctive way, which has resulted in its own distinctive secular outcome. This suggests that even if globalization brings about more secularization, it will not soon bring about one common, global worldview.
Secularization is understood as a shift in the overall frameworks of human condition; it makes it possible for people to have a choice between belief and non belief in a manner hitherto unknown

Transnational Religion and Multiple Glocalization
Transnational religion is a means of describing solutions to new-found situations that people face as a result of migration and it comes as two quite distinct blends of religious universalism and local particularism.
Transnational National Communities are constructed and religious hierarchies perform dual religious and secular functions that ensure the groups’ survival
Fundamentalist or revivalist movement - attempt to construct pure religion that sheds the cultural tradition in which past religious life was immersed
Indigenization, hybridization or glocalization are processes that register the ability of religion to mould into the fabric of different communities in ways that connect it intimately with communal and local relations
Global -local or glocal religion represents a genre of expression, communication and individual identities. It involves the consideration of an entire range of responses as outcomes instead of a single master narrative of secularization and modernization
Forms of Glocalization
1. Indigenization is connected with the specific faiths with ethnic groups whereby religion and culture were often fused into a single unit. It is also connected to the survival of particular ethnic groups.
2. Vernacularization involved the rise of vernacular language endowed with the symbolic ability of offering privileged access to the sacred and often promoted by empires.
3. Nationalization connected the consolidation of specific nations with particular confessions and has been a popular strategy both in Western and eastern Europe.
4. Transnationalization complemented religious nationalization by forcing groups to identify with specific religious traditions of real or imagine national homelands or to adopt a more universalist vision of religion.

Lesson 10
Global City: Its Definition and Concepts
global city is an urban centre that enjoys significant competitive advantages and that serves as a hub within a globalized economic system. The term has its origins in research on cities carried out during the 1980s, which examined the common characteristics of the world’s most important cities.

What constitutes a global city were primarily economic. As such, New York, London, and Tokyo can be identified as global cities, all of which are hubs of global finance and capitalism.

Indicators of a Global City
1. Seats of Economic Power - Cities that have a strong influence on global finance, business, and trade may be considered seats of economic power.
New York may have the largest stock market in the world but 
Tokyo houses the most number of corporate headquarters (613 company headquarters as against 217 in New York, its competitor). 
Shanghai plays a critical role in the global economic supply chain ever since China has become the manufacturing center of the world. Shanghai has the world’s busiest container port, moving over 33 million container units in 2013.
2. Centers of Authority - Cities where important government decisions are made may be considered centers of authority.
Washington DC it is the seat of American state power. People around the world know its major landmarks: the White House, the Capitol Building (Congress), the Supreme Court, the Lincoln Memorial, and the Washington Monument. 
Canberra is a sleepy town and thus is not as attractive to tourists. But as Australia’s political capital, it is home to the country’s top politicians, bureaucrats, and policy advisors.
3. Centers of Political Influence - Cities that house major international organizations may also be considered centers of political influence. 
The headquaters of the United Nations is in New York, and that of the European Union is in Brussels. An influential political city near the Philippines is Jakarta, also the location of the main headquarters of the Association of Southeast Asian Nations (ASEAN). 
Powerful political hubs exert influence on their own countires as well as on international affairs. European Central Bank which oversees the Euro (the European Union’s currency), is based in Frankfurt.
4. Centers of Higher Learning and Culture - A city’s intellectual influence is seen through the influence of its publishing industry. 
Many of the books that people read are published in places like New York , London, or Paris. 
The New York Times carries the name of New York City but it is far from being a local newspaper. 
One of the reasons for many tourists visiting Boston is that they want to see Harvard University - the world’s top university. 
Los Angeles, the center of the American film industry may also be considered a global city. Copenhagen is considered as one of the culinary capitals of the world, with its top restaurants incommensurate with its size. 
Manchester, England in the 1980’s was a dreary, industrial city. But many prominent post-punk and New Wave bands - Joy Division, the Smiths, the Happy Mondays - hailed from this city, making it a global household name. In Southeast Asia, Singapore is slowly becoming a cultural hub for the region. It now houses some of the region’s top television stations and news organization (MTV Southeast Asia and Channel News Asia). Its various art galleries and cinemas also show paintings from artists and filmmakers respectively from the Philippines and Thailand. It is, in fact, sometimes easier to watch the movie of a Filipino indie filmmaker in Singapore than it is in Manila.

Cities as Engines of Globalization 
Cities - are the engines of globalization. They are social magnets, growing faster and faster. 
Global Cities - An increasing number of large cities, with populations of over five million, cities that are nodes of global as much as national networks. 
In 2000, there were 18 megacities (over 10 million) ‚ such as Mumbai, Tokyo, New York City/Newark 
Mexico City had populations in excess of 10 million inhabitants. 
Greater Tokyo already has 35 million. 
The Hong Kong/Guangzhow area is even larger, perhaps 120 million.

Lesson 11
Global Demography: Meaning and Its Origin
DEMOGRAPHY refers to the study of populations, with reference to size and density, fertility, mortality, growth, age distribution, migration, and vital statistics and the interaction of all these with social and economic conditions. (Cited by Tulchinsky)

Demography was derived from the Greek words demos for “population” and graphia for “description” or “writing,” thus the phrase, “writings about population.” It was coined by Achille Guillard, a Belgian statistician, in 1855. However, the origins of modern demography can be traced back to the John Graunt’s analysis of ‘Bills of Mortality’ which was published in 1662.

Demographic transition 
• started in mid- or late 1700’s in Europe.
• High birth & death rates → Low birth & death rates
• death rates and fertility began to decline	

• High to low Fertility - 200 years in France and 100 years in the United States.
• Asia & Africa
Began later (20th century)
Mortality decline: Happened in Africa & Asia (except Japan earlier)
India - Life expectancy: ~24 years (early 1900s)
China - Same life expectancy level (1929–1931) 
Fertility decline: 
Japan - Fertility remained high until 1930s
Rapid population growth after World War II

Effect of Demographic Transition
A remarkable effect of the demographic transition is ‘the enormous gap in life expectancy that emerged between Japan and the West on the one hand and the rest of the world on the other.
1820 - the life expectancy at birth of Japan and the West was 12 years greater than that of other countries. 1900 - It increased by 20 years
1900-1950 - Improvement in life expectancy all throughout the world, the gap had reached 22 years.
1999 - the gap declined to 14 years. 

19th century: 
Europe and the West - had an increased in share in the world’s population, from 22.0 percent to 33.0 percent.
Asia and Oceania - contribution dropped from 69.0 percent to 56.7.
India and China suffered from economic stagnation and decline during that time.

20th century as Africa, Asia, Latin America, and Oceania had high levels of population growth rates.
Between 1820 and 1980 - 69.3 percent of the world’s population growth occurred in Europe and Western
Between 1950 and 2000 - only 11.7 percent occurred in the region.
The United States projected that population growth will be shifted toward Africa. It is estimated that by 2150
In 2150 there will be a projected increase of two billion if we combine the population of Asia, Latin America, and Oceania.
Age Structure, the overall trend in Japan and the West was downward until 1950. Their dependency ratio was close to 0.5. It only increased

Developing Countries like India and the Philippines had higher dependency ratios than the West in 1900.
Dependency ratios started to disappear because there is a decline in global birth rate.

Theory of Demographic Transition
Demographic transition theory suggests that future population growth will develop along a predictable four- or five-stage model.
1.Stage 1, pre-industrial society, death rates and birth rates are high and roughly in balance.
Example: United States in the 1800s. All human populations are believed to have had this balance until the late 18th century, when this balance ended in Western Europe. 
Growth rates were less than 0.05% since Agricultural Revolution over 10,000 years ago
Population growth is typically very slow in this stage, because the society is constrained by the available food supply; therefore, unless the society develops new technologies to increase food production (e.g. discovers new sources of food or achieves higher crop yields), any fluctuations in birth rates are soon matched by death rates.
2.Stage 2, Developing Stage that of a developing country, death rates drop rapidly due to improvements in food supply and sanitation, which increase life spans and reduce disease. Afghanistan is currently in this stage.
The improvement in this stage includes selective breeding, crop rotation, farming techniques, access to technology, basic healthcare, and education.
In Europe, the death rate decline started in the late 18th century in northwestern Europe and spread to the south and east over approximately the next 100 years. Without a corresponding fall in birth rates this produces an imbalance, and the countries in this stage experience a large increase in population.
3.Stage 3 Birth rates Fall. Birth rates decrease due to various fertility factors such as access to contraception, increases in wages, urbanization, a reduction in subsistence agriculture, an increase in the status and education of women, a reduction in the value of children’s work, an increase in parental investment in the education of children and other social changes. Mexico’s population is at this stage
The birth rate decline in developed countries started in the late 19th century in northern Europe.
4. Stage 4 Industrial Stage, there are both low birth rates and low death rates. 
Birth rates may drop to well below replacement level as has happened in countries like Germany, Italy, and Japan, leading to a shrinking population, a threat to many industries that rely on population growth.
Death rates may remain consistently low or increase slightly due to increases in lifestyle diseases due to low exercise levels and high obesity and an aging population in developed countries.
By the late 20th century, birth rates and death rates in developed countries leveled off at lower rates
5. Stage 5 (Debated). Some scholars delineate a separate fifth stage of below-replacement fertility levels. Others hypothesize a different stage five involving an increase in fertility.
United Nations Population Fund (2008) categorizes nations as high-fertility, intermediate-fertility, or low-fertility.
The United Nations (UN) anticipates the population growth will triple between 2011 and 2100 in high-fertility countries, which are currently concentrated in sub-Saharan Africa.
For countries with intermediate fertility rates (the United States, India, and Mexico all fall into this category), growth is expected to be about 26 percent.
Low-fertility countries like China, Australia, and most of Europe will actually see population decline of approximately 20 percent.","Lesson 8 The Global Media Cultures  Globalization and identity, globalization and human rights, globalization and culture, or globalization and terrorism are some concepts related to the study of globalization by many scholars.   Situations",Not Ready,0,Not Ready
n4,f4,1,1,210498d6-a66e-48cb-8a5a-94038a1143b0.pdf,machinelearning\uploads\210498d6-a66e-48cb-8a5a-94038a1143b0.pdf,ipophl-other,564,3477,"REPUBLIC OF THE PHILIPPINES 
Polytechnic University of the Philippines 
OFFICE OF THE VICE PRESIDENT FOR CAMPUSES 
Sto. Tomas Campus 
 
 
ACTIVITY IN IAS 
MEMBERS GROUP 4: 
Ken Cedrick Gonzales 
Edcel Esquivel 
John Dale Talatala 
Ermel John Corpus 
Marc Darren Guevarra 
Ellexis Phillip Martinez 
Ma. Krisha Niem Rubia 
SECTION: BSIT 3-1 
ACTIVITY: Comparison  
Explain and give simple examples: 
Symmetric vs. Asymmetric vs. Hashing vs. Signatures 
1. Symmetric Encryption 
➢ Symmetric encryption is a type of cryptography where only one key is used 
to both encrypt and decrypt data.  
➢ Both sender and the receiver must share the same secret key before they 
can communicate securely. 
➢ This method is fast and efficient, but it can be risky if the shared key is 
exposed. 
• Example: 
o You save a document on your laptop and protect it with a 
password. When you lock the file, the system uses that 
password to encrypt the document. When you want to open it 
again, you enter the same password to decrypt it. Anyone who 
knows the password can also access the file. 
2. Asymmetric Encryption 

REPUBLIC OF THE PHILIPPINES 
Polytechnic University of the Philippines 
OFFICE OF THE VICE PRESIDENT FOR CAMPUSES 
Sto. Tomas Campus 
 
➢ 
Asymmetric encryption is a type of cryptography that uses two 
different keys: a public key and a private key. 
➢ The public key is used to encrypt data, while the private key is used to 
decrypt it. 
➢ This makes communication more secure because only the owner of the 
private key can access the message 
• Example: 
o when you enter your credit card details on a shopping website, 
your browser uses the website’s public key to encrypt the 
information before sending it. Only the website’s server, which 
has the private key, can decrypt and read your payment details 
securely. 
3. Hashing 
➢ Hashing is a process that converts data into a fixed-length value called a 
hash. 
➢ It is a one-way process, meaning the original data cannot be retrieved from 
the hash. 
➢ Even a small change in the input will produce a completely different hash 
value. 
• Example: 
o When you register your fingerprint, the system converts it into a 
hash value and stores it. When you try to unlock your phone, 
your fingerprint is scanned again and hashed, then compared 
to the stored hash to check if it matches. 
4. Digital Signatures 
➢ Digital signatures are used to verify the identity of the sender and ensure 
data integrity. 
➢  It uses asymmetric encryption, where the sender signs using a private key 
and the receiver verifies using a public key. 
➢ This ensures that the message is authentic and has not been altered. 
• Example: 
o when a company sends you an official email, it includes a 
digital signature created using its private key. Your email 
system can use the company’s public key to verify that the 
message really came from them and was not changed during 
transmission. 

REPUBLIC OF THE PHILIPPINES 
Polytechnic University of the Philippines 
OFFICE OF THE VICE PRESIDENT FOR CAMPUSES 
Sto. Tomas Campus 
 
Comparison: 
Symmetric 
Asymmetric 
Hashing 
Signatures 
One shared key 
Two keys (public & 
private) 
No key (algorithm 
only) 
Two keys (public & 
private) with 
hashing 
Encrypt and decrypt 
data 
Secure 
communication 
Protect data  
Verify identity and 
authenticity 
Fast 
Slower 
Very fast 
Moderate 
Less secure (key 
sharing risk) 
More secure 
Very secure for 
storage 
Very secure for 
authentication",REPUBLIC OF THE PHILIPPINES  Polytechnic University of the Philippines  OFFICE OF THE VICE PRESIDENT FOR CAMPUSES  Sto. Tomas Campus      ACTIVITY IN IAS  MEMBERS GROUP 4:  Ken Cedrick Gonzales  Edcel Esquivel  John Dale Talatala  Ermel Joh,Not Ready,0,Not Ready
n5,f5,1,1,235def80-a384-4c96-9b9b-805542378c78.docx,machinelearning\uploads\235def80-a384-4c96-9b9b-805542378c78.docx,ipophl-other,292,2166,"IPOPHL Geographical Indication (GI) - Certifications & Proofs Dataset
Synthetic but realistic supporting dataset modeled after IPOPHL GI application requirements for Kapeng Barako. Values are based on literature, government standards, and typical certification formats.
Certification Register
CERT-2026-001 | Provincial Agriculture Office - Batangas | Historical Production Certification | Batangas | 2026-01-15 | Valid
CERT-2026-002 | Provincial Agriculture Office - Cavite | Historical Production Certification | Cavite | 2026-01-17 | Valid
CERT-2026-003 | BAFS | Production Standards Compliance | CALABARZON | 2026-02-01 | Valid
CERT-2026-004 | Accredited Soil Laboratory | Soil Analysis Validation | Batangas | 2026-02-10 | Valid
CERT-2026-005 | Philippine Coffee Board | Sensory & Cup Quality Verification | Batangas/Cavite | 2026-02-20 | Valid
CERT-2026-006 | LGU Resolution | GI Application Endorsement | Batangas | 2026-03-01 | Valid
Proof of Causal Link Summary
Evidence indicates that volcanic Andisol soils, elevation, rainfall, agroforestry systems, and long-standing cultivation traditions contribute directly to the distinctive sensory profile of Kapeng Barako. Supporting sources include soil analyses, farm inspections, and quality assessments.

IPOPHL GI Certifications & Proofs Dataset
Synthetic supporting dataset prepared for Geographical Indication applications. 
CERT-2026-001 | Provincial Agriculture Office - Batangas | Historical Production Certification | Batangas | 2026-01-15 | Valid 
CERT-2026-002 | Provincial Agriculture Office - Cavite | Historical Production Certification | Cavite | 2026-01-17 | Valid 
CERT-2026-003 | BAFS | Production Standards Compliance | CALABARZON | 2026-02-01 | Valid 
CERT-2026-004 | Accredited Soil Laboratory | Soil Analysis Validation | Batangas | 2026-02-10 | Valid 
CERT-2026-005 | Philippine Coffee Board | Sensory & Cup Quality Verification | Batangas/Cavite | 2026-02-20 | Valid 
CERT-2026-006 | LGU Resolution | GI Application Endorsement | Batangas | 2026-03-01 | Valid

Proof of Causal Link
The dataset links geographic factors, historical reputation, and production practices to product quality.","IPOPHL Geographical Indication (GI) - Certifications & Proofs Dataset Synthetic but realistic supporting dataset modeled after IPOPHL GI application requirements for Kapeng Barako. Values are based on literature, government standards, and t",Not Ready,0,Not Ready
n6,f6,1,1,23aae3d5-ac15-4445-9f5b-a56f0306b1a8.pdf,machinelearning\uploads\23aae3d5-ac15-4445-9f5b-a56f0306b1a8.pdf,ipophl-other,2243,18062,"Function 
Sabre 
Amadeus 
 
Training Services 
 
 
 
 
 
 
1 
July 2014  
 
SIGN IN/OUT 
 
 
 
  
 HE SINE 
SIGN IN TO ALL WORK AREAS 
SI*(sign) 
JI*(sign) 
SIGN IN TO PRACTICE TRAINING 
SI6 
JJ*(sign) 
CHANGE WORK AREAS 
B
JMB 
DISPLAY ALL WORK AREAS 
*S* 
JD 
DISPLAY TERMINAL ID 
‡J 
JD 
SIGN OUT OF ALL WORK AREAS 
SO* 
JO* 
 
 
 
ENCODE/DECODE 
 
 
 
 
HE DAC 
DECODE CITY  
W/*MXP 
DAC MXP 
ENCODE CITY 
W/-CCMILAN 
DAN MILAN 
DECODE AIRLINE  
W/*IB 
DNA IB  
ENCODE AIRLINE 
W/-ALIBERIA 
DNA IBERIA  
DECODE HOTEL  
W/HL*HY 
DNH HY 
ENCODE HOTEL 
W/-HLHYATT 
DNH HYATT 
DECODE CAR  
W/CR*AL 
DNC AL 
ENCODE CAR 
W/-CRALAMO 
DNC ALAMO 
DECODE COUNTRY 
HCCC/JP 
DCJP 
ENCODE COUNTRY 
HCCC/JAPAN 
DCJAPAN 
AIRCRAFT STATISTICS 
W/EQ*747 
DNE747 
 
 
 
PNR – NAME/PASSENGER TYPES 
 
 
 
HE NM or HE NAME 
ADULT 
-2SMITH/A MR/B MRS 
NM2SMITH/A MR/B MRS 
CHILD 
-JONES/MARY MISS*CHD 
NM1JONES/MARY MISS(C10) 
INFANT 
-SMITH/B MRS -I/SMITH/CHARLES 
NM1SMITH/B MRS(INF/CHARLES) 
DIFFERENT SURNAMES 
-SMITH/B MR‡-BROWN/L MRS 
NM1SMITH/B MR1BROWN/L MRS 

 
 
Function 
Sabre 
Amadeus 
 
Training Services 
 
 
 
 
 
 
2 
July 2014  
 
PNR – NAME/PASSENGER TYPES (cont.) 
 
UPDATE FIRST NAME ONLY 
-1.3JOAN MRS 
NU1/JOAN MRS or 1/JOAN MRS 
UPDATE NAME  
-2.2BROWN/W MR 
NU1/1BROWN/W MR  or 1/1BROWN/W MR  
DELETE NAME 
-1 
XE1  
 
 
 
PNR – PHONE/CONTACTS 
 
 
 
 
HE AP or HE PHONE          HE INV 
AGENCY 
9JFK708-123-1234-A 
AP JFK 708 123-1234-A 
HOME 
9JFK708-555-1234-H 
AP JFK 708 555-1234-H 
BUSINESS 
9BOS617-555-2323-B 
AP BOS 617 555-2323-B 
MEMO 
 
APX-ADVISED PENALTIES 
EMAIL ADDRESS 
PE‡MBAUER@YKT.COM‡ 
APE-MBAUER@YKT.COM 
SEND EMAIL 
EM (end PNR and send email) 
INV-EMLA 
FAX NUMBER 
9PDX503-555-4444-F 
APF-US5035554444  
SEND FAX 
DIF 
INV-FAXA 
CHANGE 
92503-555-1234-B 
2/PDX 503 555-1234-B 
DELETE 
92   
XE2    
 
 
 
PNR - TICKETING 
 
 
 
 
HE TK 
FUTURE 
7TAW15APR/FREEFLOW 
TKTL15APR/-FREEFLOW 
FUTURE WITH QUEUE CATEGORY 
7TAW23JUL55/ 
TKTL23JUL/Q55 
TICKETED 
7T-A 
TKOK 
CHANGE 
7TAW19APR/ 
5/TL19APR 
DELETE 
78 
XE8 
AUTOMATIC CANCEL DOES NOT QUEUE 
86P/22FEB 
TKXL22FEB 
 
 
 
 
 
 
 
 
 

 
 
Function 
Sabre 
Amadeus 
 
Training Services 
 
 
 
 
 
 
3 
July 2014  
 
PNR - FORM OF PAYMENT 
 
 
 
 
HE FP US 
CASH 
5-CASH 
FPCASH 
CHECK 
5-CHECK 
FPCHECK 
CREDIT CARD 
5-*AX378200000000000‡12/09 
FPCCAX378200000000000/1209 
MANUAL APPROVAL CODE 
W‡FA/CCAX378200000000000‡12/09*Z1234 
FPCCAX378200000000000/1209/N1234 
CHANGE FOP TO CREDIT CARD 
59-*AX378200000000000‡12/09 
9/CCAX378200000000000/1209 
DELETE 
59  
XE9    
FOR MCO LINE NUMBER 4 
-- 
FPCCCA123456234563456723/1109/L4 
 
 
 
PNR - COMMISSION 
 
 
 
 
HE FM 
PERCENTAGE 
 
FM9 
DOLLAR AMOUNT 
 
FM20.00A 
COMMISSION CAP 
 
FM0/C50.00 
PERCENTAGE W/ COMMISSION CAP 
 
FM9/C50.00 
CHANGE COMMISSION 
 
7/5 
DELETE COMMISSION 
 
XE7 
 
 
 
PNR - ADDRESSES 
 
 
 
S 
HE AB  OR  HE AM 
BILLING ADDRESS 
5/TECH‡123 MAIN ST‡DALLAS TX 75201 
ABTECH,123 MAIN ST, DALLAS TX 75201 
MAILING/DELIVERY ADDRESS 
5DL-DELIVER TO BBC 
AMDELIVER TO BBC 
CHANGE 
512/NEW TEXT 
12/NEW TEXT 
DELETE 
512   
XE12  
 
 
 
PNR – OSI/SSR 
 
 
 
 
HE OS   HE SR 
OSI 
3OSI DL VIP TRAVELER 
OSDL VIP TRAVELER 

 
 
Function 
Sabre 
Amadeus 
 
Training Services 
 
 
 
 
 
 
4 
July 2014  
 
PNR – OSI/SSR (cont.) 
 
 
SSR 
3VGML-1.1 
SRVGML/P1 
SSR, SPECIFIC SEGMENT, PSGR 
3WCHR4-1.2 
SRWHCR/S4/P2 
DELETE OSI OR SSR 
312    
XE12    
 
 
 
PNR - REMARKS 
 
 
 
 
HE REMARKS 
GENERAL REMARK 
5ADVISED NEEDS PASSPORT 
RM ADVISED NEEDS PASSPORT 
CONFIDENTIAL REMARK 
5HR-25 PC OFF ALL CAR RENTALS 
RC 25 PC OFF ALL CAR RENTALS 
CATEGORIZED REMARK 
5C‡HILTON HONORS 
RMH/HILTON HONORS 
CHANGE PNR REMARK 
59NEW INFO 
9/NEW INFO 
REMARK TO PRINT ON ITINERARY 
5‡THANK YOU FOR USING ABC TRAVEL 
RII THANK YOU FOR USING ABC TRAVEL 
PRINT ON INV, SEG ASSOCIATED 
5‡S2 HTL GUARANTEED FOR LATE ARR 
RII HTL GUARANTEED FOR LATE ARR/S2 
CHANGE OR CANCEL ITIN REMARK 
59     
XE9 
CANNED REMARK 
 
RIP/M12,14 
 
 
 
PNR - FREQUENT FLYER 
 
 
 
 
HE FFN 
BASIC 
FFCO12345678 
FFNCO-12345678 
NAME ASSOCIATE 
FFAA9236717-1.1 
FFNAA-9236717/P2 
FQTV # OTHER AIR SHARE AGREEMENT 
FFDL3243567/AF 
FFNDL-3243567,AF 
DELETE FREQUENT FLYER NUMBER 
FF1 
XE7 
 
 
 
PNR - RECEIVED FROM 
 
 
 
 
HE RF 
RECEIVED FROM 
6BRENDA JONES 
RFBRENDA JONES 
CHANGE 
6BOB JONES 
RFBOB JONES 
RELEASE PNR TO ANOTHER AGENT 
6TA/B4T0 SUZIE SMITH 
RF SUZIE.SMITH-0001AB 
 
 
 

 
 
Function 
Sabre 
Amadeus 
 
Training Services 
 
 
 
 
 
 
5 
July 2014  
 
PNR - END 
 
 
 
 
HE ET 
END 
E 
ET 
END AND REDISPLAY 
ER 
ER 
END, UPDATE AND REDISPLAY 
EWR 
ERK 
 
 
 
PNR - IGNORE 
 
 
 
 
HE IG 
IGNORE 
I 
IG 
IGNORE AND REDISPLAY 
IR 
IR 
 
 
 
PNR - DISPLAY 
 
 
 
 
HE RT 
REDISPLAY CURRENT PNR 
*A 
RT 
BY NAME 
*-WILSON/BOB 
RT/WILSON/BOB 
FROM NAME LIST 
*2 
RT2 
REDISPLAY NAME LIST 
 
RT0 (zero) 
BY RECORD LOCATOR 
*ABCEDF 
RTABCDEF 
BY BRANCH AND NAME 
*-F6B1-WILSON/BOB 
RT/MIAAX2150-WILSON/BOB 
DISPLAY AIRLINE  RECORD LOCATORS 
 
RL 
DISPLAY RECORD LOCATOR HISTORY 
 
RLH 
DISPLAY PROFILE LOCATOR USED TO BUILD PNR 
RLP 
 
 
 
PNR - CLAIM  
 
 
 
 
HE RO 
CLAIM PNR BY RECORD LOCATOR 
QUA/*ABC123
ROCOABC123 
CLAIM BY FLIGHT AND NAME 
QUA/*UA51/12MAY-ELLIOTT
ROUA51/12MAY-ELLIOTT 
END CLAIM 
QUA/CLM
ET 
 
 
 

 
 
Function 
Sabre 
Amadeus 
 
Training Services 
 
 
 
 
 
 
6 
July 2014  
 
PNR – COPY 
 
 
 
 
HE PNR COPY 
COPY PNR 
ECAPD 
RRN 
COPY PSGR INFO ONLY 
ICPD 
RRP 
COPY ITINERARY AND INCREASE TO 3 
ICB3 
RRI/3 
COPY AND ATTACH TO ANOTHER PNR 
 
RRA 
 
 
 
PNR – DIVIDE/SPLIT 
 
 
 
 
HE DIVIDE 
STEP 1:  DIVIDE NAME 2 
D2 
SP2 
STEP 1, IF DIVIDING NAMES 2 AND 4 
D2*4 
SP2,4 
STEP 2:  RECEIVE SPLIT PNR 
6MARY JONES 
RFMARY.JONES 
STEP 3:  END AND FILE SPLIT 
F 
EF 
STEP 4:  RECEIVE SOURCE PNR 
6MARY JONES 
RFMARY.JONES 
STEP 5:  END TRANSACTION 
E 
ET 
 
 
 
PNR HISTORY 
 
 
 
 
HE HISTORY 
PNR HISTORY 
*H 
RH 
